order_date,price
2024-12-17,373.36
2024-06-01,299.34
2025-02-04,23
2024-10-28,230.11
2024-05-10,176.72
2024-12-03,196.16
2024-06-07,272.75
2024-07-15,292.9
2024-12-17,429.11
2024-04-12,191.39
2025-01-31,321.14
2024-06-27,494.87
2024-05-21,122.23
2024-12-03,457.44
2025-02-07,443.49
2024-09-13,274.1
2024-05-22,117.47
2024-03-19,84.89
2024-10-28,196.99
2024-12-24,344.04
2024-12-05,153.82
2025-02-20,383.36
2024-07-26,308.4
2024-12-30,303.48
2024-04-09,38.38
2024-07-18,489.21
2025-01-12,90.91
2024-04-01,380.08
2025-01-11,450.81
2024-03-24,298.27
2025-01-17,43.03
2024-08-05,337.8
2024-11-24,241.61
2024-09-01,183.61
2024-07-01,207.28
2024-03-31,272.78
2024-05-13,227.13
2024-08-13,484.81
2025-03-04,452.2
2024-06-09,149.77
2024-04-25,85.85
2024-08-16,376.51
2024-05-30,37.87
2024-11-11,340.85
2024-06-29,293.67
2024-08-09,266.16
2024-11-27,203.94
2024-09-23,234.56
2024-04-11,139.95
2025-01-20,87.3
2024-04-03,337.25
2024-05-30,66.56
2024-09-15,113.21
2024-09-19,249.38
2024-07-25,11.74
2024-04-22,355.78
2025-01-16,27.65
2024-08-01,161.05
2024-07-14,183.3
2024-04-30,463.62
2024-12-15,22.15
2024-05-25,140.73
2024-04-21,107.79
2024-05-13,21.6
2024-12-15,182.06
2024-05-25,470.23
2024-11-10,28.75
2024-12-17,307.04
2025-02-05,31.75
2024-03-26,188.47
2024-06-15,335.06
2024-03-27,169.83
2024-03-26,341.89
2024-06-22,158.9
2025-01-31,226.48
2024-07-04,149.06
2024-06-29,120.07
2024-09-21,426.37
2025-02-06,361.99
2024-11-01,391.43
2025-03-14,34.61
2024-10-26,337.11
2024-08-14,409.35
2024-10-18,374.39
2025-02-08,247.45
2024-05-18,143.14
2024-11-16,197.69
2024-08-15,275.88
2025-01-23,473.57
2024-04-23,12.89
2024-06-04,376.28
2025-03-06,143.74
2024-07-06,421.85
2024-06-29,286.55
2025-03-17,34.64
2024-06-14,146.35
2024-07-01,35.52
2024-09-27,475.31
2024-12-02,242.04
2024-11-05,92.22
2024-07-04,62.97
2024-07-25,471.32
2025-02-07,351.62
2024-08-31,393.49
2024-10-12,327.3
2024-09-24,480.79
2024-11-24,96.31
2024-05-02,237.79
2025-02-23,146.67
2024-09-24,174.83
2024-04-01,400.94
2024-04-04,14.97
2024-04-11,381.5
2024-12-10,55.6
2024-07-31,241.9
2024-06-06,182.39
2024-12-23,164.62
2024-05-25,116.03
2025-03-03,148.67
2024-06-05,158.11
2024-10-02,153.15
2024-12-18,291.29
2024-09-19,471.12
2024-08-15,292.74
2024-04-17,51.74
2024-06-06,397.46
2024-07-30,431.48
2024-04-10,474.32
2024-08-23,127.53
2024-12-29,240.26
2024-06-07,346.82
2025-01-16,66.24
2024-11-09,39.22
2024-09-10,70.93
2024-12-26,274.59
2024-07-09,305.82
2024-08-26,475.89
2024-05-20,264.29
2025-01-20,321.04
