Year(order_date),month(order_date),sum(price),"lag(sum(price) , 12) over (order By  year(order_date), month(order_date))"
2024,3,9821.820000000002,NULL
2024,4,19239.809999999998,NULL
2024,5,20759.399999999998,NULL
2024,6,19910.830000000005,NULL
2024,7,22469.690000000006,NULL
2024,8,24697.429999999997,NULL
2024,9,23674.100000000006,NULL
2024,10,17904.859999999997,NULL
2024,11,17789.23,NULL
2024,12,25227.04,NULL
2025,1,21918.86,NULL
2025,2,17195.649999999998,NULL
2025,3,11241.940000000002,9821.820000000002
